Experiment,Train Loss,Val Loss,Loss Gap,Total Params,Config Path
b64_L6_H4_E128_BS8_MI1000_D10_s1,2.0644,2.0976,0.033199999999999896,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS8_MI1000_D10_s1.py
b64_L6_H4_E128_BS8_MI1000_D20_s2,2.1633,2.1757,0.012399999999999967,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS8_MI1000_D20_s2.py
b64_L6_H4_E128_BS8_MI2000_D10_s3,1.6288,1.7904,0.16159999999999997,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS8_MI2000_D10_s3.py
b64_L6_H4_E128_BS8_MI2000_D20_s4,1.7445,1.8825,0.13800000000000012,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS8_MI2000_D20_s4.py
b64_L6_H4_E128_BS16_MI1000_D10_s5,1.985,2.0442,0.05919999999999992,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS16_MI1000_D10_s5.py
b64_L6_H4_E128_BS16_MI1000_D20_s6,2.0913,2.1281,0.036799999999999944,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS16_MI1000_D20_s6.py
b64_L6_H4_E128_BS16_MI2000_D10_s7,1.5612,1.7354,0.17420000000000013,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS16_MI2000_D10_s7.py
b64_L6_H4_E128_BS16_MI2000_D20_s8,1.667,1.8337,0.16670000000000007,1190000.0,/content/nanoGPT/b64_L6_H4_E128_BS16_MI2000_D20_s8.py
b64_L6_H4_E256_BS8_MI1000_D10_s9,1.664,1.8361,0.17210000000000014,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS8_MI1000_D10_s9.py
b64_L6_H4_E256_BS8_MI1000_D20_s10,1.7787,1.9224,0.14370000000000016,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS8_MI1000_D20_s10.py
b64_L6_H4_E256_BS8_MI2000_D10_s11,1.3933,1.5989,0.2056,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS8_MI2000_D10_s11.py
b64_L6_H4_E256_BS8_MI2000_D20_s12,1.4631,1.6607,0.1976,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS8_MI2000_D20_s12.py
b64_L6_H4_E256_BS16_MI1000_D10_s13,1.5928,1.7779,0.18510000000000004,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS16_MI1000_D10_s13.py
b64_L6_H4_E256_BS16_MI1000_D20_s14,1.6935,1.8589,0.1654,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS16_MI1000_D20_s14.py
b64_L6_H4_E256_BS16_MI2000_D10_s15,1.3185,1.5614,0.2428999999999999,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS16_MI2000_D10_s15.py
b64_L6_H4_E256_BS16_MI2000_D20_s16,1.3888,1.61,0.22120000000000006,4740000.0,/content/nanoGPT/b64_L6_H4_E256_BS16_MI2000_D20_s16.py
b64_L6_H8_E128_BS8_MI1000_D10_s17,2.0774,2.1062,0.028799999999999937,1190000.0,/content/nanoGPT/b64_L6_H8_E128_BS8_MI1000_D10_s17.py
b64_L6_H8_E128_BS8_MI1000_D20_s18,2.1584,2.1735,0.015100000000000335,1190000.0,/content/nanoGPT/b64_L6_H8_E128_BS8_MI1000_D20_s18.py
b64_L6_H8_E128_BS8_MI2000_D10_s19,1.6288,1.7891,0.1602999999999999,1190000.0,/content/nanoGPT/b64_L6_H8_E128_BS8_MI2000_D10_s19.py
b64_L6_H8_E128_BS8_MI2000_D20_s20,1.7327,1.8687,0.13600000000000012,1190000.0,/content/nanoGPT/b64_L6_H8_E128_BS8_MI2000_D20_s20.py
b64_L6_H8_E128_BS16_MI1000_D10_s21,1.9954,2.0543,0.05889999999999995,1190000.0,/content/nanoGPT/b64_L6_H8_E128_BS16_MI1000_D10_s21.py
