Experiment,Train Loss,Val Loss,Loss Gap,Total Params,Config Path
b128_L4_H4_E128_BS8_MI1000_D10_s1,2.2018,2.2313,0.02950000000000008,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS8_MI1000_D10_s1.py
b128_L4_H4_E128_BS8_MI1000_D20_s2,2.2505,2.2732,0.022699999999999942,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS8_MI1000_D20_s2.py
b128_L4_H4_E128_BS8_MI2000_D10_s3,1.7078,1.8638,0.15599999999999992,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS8_MI2000_D10_s3.py
b128_L4_H4_E128_BS8_MI2000_D20_s4,1.8194,1.947,0.12760000000000016,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS8_MI2000_D20_s4.py
b128_L4_H4_E128_BS16_MI1000_D10_s5,2.1369,2.1697,0.032800000000000384,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS16_MI1000_D10_s5.py
b128_L4_H4_E128_BS16_MI1000_D20_s6,2.2065,2.2315,0.02499999999999991,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS16_MI1000_D20_s6.py
b128_L4_H4_E128_BS16_MI2000_D10_s7,1.6386,1.8059,0.1673,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS16_MI2000_D10_s7.py
b128_L4_H4_E128_BS16_MI2000_D20_s8,1.7562,1.9002,0.1439999999999999,800000.0,/content/nanoGPT/b128_L4_H4_E128_BS16_MI2000_D20_s8.py
b128_L4_H4_E256_BS8_MI1000_D10_s9,1.7882,1.902,0.1137999999999999,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS8_MI1000_D10_s9.py
b128_L4_H4_E256_BS8_MI1000_D20_s10,1.8992,1.9921,0.09289999999999998,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS8_MI1000_D20_s10.py
b128_L4_H4_E256_BS8_MI2000_D10_s11,1.3967,1.6127,0.21599999999999997,3160000.0,/content/nanoGPT/b128_L4_H4_E256_BS8_MI2000_D10_s11.py
