Experiment,Train Loss,Val Loss,Loss Gap,Total Params,Config Path
b64_L4_H4_E128_BS8_MI1000_D10_s1,2.1299,2.1525,0.02259999999999973,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS8_MI1000_D10_s1.py
b64_L4_H4_E128_BS8_MI1000_D20_s2,2.2092,2.2231,0.013900000000000023,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS8_MI1000_D20_s2.py
b64_L4_H4_E128_BS8_MI2000_D10_s3,1.7157,1.8681,0.1524000000000001,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS8_MI2000_D10_s3.py
b64_L4_H4_E128_BS8_MI2000_D20_s4,1.8298,1.9405,0.1106999999999998,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS8_MI2000_D20_s4.py
b64_L4_H4_E128_BS16_MI1000_D10_s5,2.0603,2.0933,0.03300000000000036,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS16_MI1000_D10_s5.py
b64_L4_H4_E128_BS16_MI1000_D20_s6,2.1494,2.1687,0.019299999999999873,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS16_MI1000_D20_s6.py
b64_L4_H4_E128_BS16_MI2000_D10_s7,1.6357,1.8081,0.1724000000000001,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS16_MI2000_D10_s7.py
b64_L4_H4_E128_BS16_MI2000_D20_s8,1.7548,1.9007,0.14590000000000014,800000.0,/content/nanoGPT/b64_L4_H4_E128_BS16_MI2000_D20_s8.py
b64_L4_H4_E256_BS8_MI1000_D10_s9,1.7524,1.8922,0.13980000000000015,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS8_MI1000_D10_s9.py
b64_L4_H4_E256_BS8_MI1000_D20_s10,1.8651,1.9719,0.1068,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS8_MI1000_D20_s10.py
b64_L4_H4_E256_BS8_MI2000_D10_s11,1.4253,1.6339,0.2085999999999999,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS8_MI2000_D10_s11.py
b64_L4_H4_E256_BS8_MI2000_D20_s12,1.5107,1.7039,0.19320000000000004,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS8_MI2000_D20_s12.py
b64_L4_H4_E256_BS16_MI1000_D10_s13,1.653,1.8159,0.16290000000000004,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS16_MI1000_D10_s13.py
b64_L4_H4_E256_BS16_MI1000_D20_s14,1.7654,1.9078,0.14239999999999986,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS16_MI1000_D20_s14.py
b64_L4_H4_E256_BS16_MI2000_D10_s15,1.3472,1.5563,0.20910000000000006,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS16_MI2000_D10_s15.py
b64_L4_H4_E256_BS16_MI2000_D20_s16,1.4247,1.6134,0.18869999999999987,3160000.0,/content/nanoGPT/b64_L4_H4_E256_BS16_MI2000_D20_s16.py
b64_L4_H8_E128_BS8_MI1000_D10_s17,2.1446,2.1646,0.020000000000000018,800000.0,/content/nanoGPT/b64_L4_H8_E128_BS8_MI1000_D10_s17.py
b64_L4_H8_E128_BS8_MI1000_D20_s18,2.2126,2.227,0.014399999999999746,800000.0,/content/nanoGPT/b64_L4_H8_E128_BS8_MI1000_D20_s18.py
b64_L4_H8_E128_BS8_MI2000_D10_s19,1.7064,1.8641,0.15770000000000017,800000.0,/content/nanoGPT/b64_L4_H8_E128_BS8_MI2000_D10_s19.py
